RestaurantID,RestaurantName,Cuisine,City,Area,OpeningTime,ClosingTime,Rating,AverageCost,OwnerName,RestaurantType,Latitude,Longitude
18,Tasty Cafe,Street Food,Kochi,Hill Road,07:00:00,00:00:00,5.0,668.0,Noah Mani,Qsr,24.464176,81.344883
19,Green Cafe,Mughlai,Ahmedabad,Civil Lines,10:00:00,22:00:00,3.6,503.0,Gaurangi Jain,Qsr,31.867835,87.69958
20,Golden Point,Desserts,Guwahati,Park Street,07:00:00,00:00:00,3.2,743.0,Yachana Rama,Delivery Only,31.414208,73.812026
21,Tasty Treats,Mexican,Bhopal,Station Road,10:00:00,01:00:00,2.3,415.0,Tanveer Mohan,Dine-In & Delivery,28.615252,86.421251
22,Blue Bites,Thai,Jaipur,Civil Lines,10:00:00,23:00:00,5.0,601.0,Hemangini Deep,Delivery Only,18.150145,81.567928
23,Royal House,Desserts,Delhi,Ring Road,07:00:00,01:00:00,4.1,211.0,Orinder Swaminathan,Dine-In,31.754867,85.94602
24,Urban House,Seafood,Bhopal,Ring Road,08:00:00,00:00:00,4.6,267.0,Yoshita Bhargava,Dine-In & Delivery,25.182069,83.752125
25,Green Bites,Street Food,Surat,Old Town,09:00:00,00:00:00,3.4,715.0,Laban Choudhary,Cloud Kitchen,32.151253,85.071681
26,Curry Bites,Mughlai,Bhopal,New Town,09:00:00,00:00:00,3.4,157.0,Vyanjana Rao,Qsr,26.873905,75.108914
27,Urban Diner,Burgers,Surat,Civil Lines,07:00:00,23:00:00,3.4,487.0,Neelima Tailor,Cloud Kitchen,30.521531,88.369845
28,Golden Grill,Mexican,Nashik,Market Area,08:00:00,00:00:00,3.6,813.0,Naksh Ray,Cloud Kitchen,31.333301,71.575395
29,Curry Grill,Fast Food,Bhopal,Mg Road,08:00:00,23:00:00,3.9,201.0,Qadim Chaudhari,Dine-In & Delivery,21.511389,85.305628
30,Golden Grill,Bakery,Delhi,Hill Road,11:00:00,23:00:00,3.0,630.0,Vrishti Koshy,Dine-In & Delivery,11.920943,82.39323
31,Blue Corner,Sushi,Ludhiana,Ring Road,09:00:00,22:00:00,4.1,571.0,Watika Mangal,Dine-In,29.301117,81.744691
32,Urban Bites,Pizza,Chennai,Old Town,10:00:00,22:00:00,3.7,480.0,Chaitaly Hora,Cloud Kitchen,17.093368,82.504046
33,Urban Diner,Desserts,Pune,Park Street,08:00:00,01:00:00,4.5,451.0,Warjas Pingle,Dine-In,11.572904,70.884417
34,Golden Corner,South Indian,Ahmedabad,Market Area,10:00:00,00:00:00,3.3,594.0,Eshana Puri,Delivery Only,24.09346,82.218305
35,Curry Cafe,Italian,Nagpur,New Town,07:00:00,23:00:00,3.7,643.0,Zaitra Karpe,Delivery Only,18.345068,85.064602
36,Green Corner,Healthy Food,Patna,Park Street,11:00:00,23:00:00,3.9,622.0,Bhavya Atwal,Dine-In,13.453324,71.39531
37,Urban Cafe,Thai,Vadodara,Central,09:00:00,01:00:00,4.2,709.0,Januja Upadhyay,Dine-In & Delivery,28.642495,74.779851
38,Green Grill,Biryani,Ahmedabad,Old Town,07:00:00,23:00:00,4.4,189.0,Jairaj Shan,Dine-In,30.776957,81.525644
39,Curry Hub,Seafood,Ahmedabad,Ring Road,07:00:00,01:00:00,3.0,434.0,Pooja Gulati,Dine-In,32.723163,73.15325
40,The Point,Desserts,Pune,Lake View,09:00:00,22:00:00,4.2,304.0,Kritika Sarma,Delivery Only,24.283409,86.596502
41,The Bites,Healthy Food,Guwahati,Mg Road,09:00:00,01:00:00,4.1,530.0,Warjas Gade,Delivery Only,26.303931,87.779139
42,Royal Point,Fast Food,Chandigarh,Old Town,09:00:00,23:00:00,3.9,323.0,Aryan Luthra,Qsr,30.128419,84.725276
43,Curry Hub,Seafood,Chandigarh,Station Road,09:00:00,01:00:00,3.4,945.0,Jagdish Morar,Delivery Only,10.693258,87.456272
44,Royal Grill,Bakery,Chandigarh,Station Road,09:00:00,22:00:00,2.8,202.0,Pooja De,Qsr,22.02876,82.872786
45,Spicy Cafe,South Indian,Hyderabad,Park Street,11:00:00,00:00:00,5.0,243.0,Nakul Johal,Dine-In,31.357411,84.539736
46,Green Corner,Biryani,Pune,Park Street,08:00:00,00:00:00,3.6,586.0,Ishaan Misra,Cloud Kitchen,13.303629,79.033194
47,Spicy Diner,Healthy Food,Coimbatore,Market Area,08:00:00,22:00:00,,538.0,Bhavna Lal,Qsr,29.869095,71.679618
48,Curry Grill,Desserts,Coimbatore,Hill Road,07:00:00,23:00:00,4.6,258.0,Amaira Verma,Dine-In,9.198479,72.105201
49,Blue Kitchen,Bakery,Mumbai,Ring Road,09:00:00,23:00:00,4.0,439.0,Nilima Gole,Dine-In & Delivery,15.07403,81.811701
50,Spicy House,Italian,Surat,Central,08:00:00,23:00:00,3.5,470.0,Farhan Nadig,Cloud Kitchen,33.337432,73.174589
51,The Point,Mexican,Nashik,New Town,10:00:00,01:00:00,4.2,566.0,Zaid Gopal,Dine-In,16.092821,83.99023
52,Urban Point,Pizza,Bhopal,Old Town,07:00:00,01:00:00,4.4,441.0,Maanav Wable,Qsr,26.477554,77.381859
53,Urban Hub,Desserts,Delhi,Civil Lines,11:00:00,00:00:00,3.4,173.0,Mohammed Thakur,Delivery Only,26.292686,80.850896
54,Golden Cafe,South Indian,Surat,Ring Road,08:00:00,22:00:00,3.7,179.0,Krishna Raju,Cloud Kitchen,9.076754,88.089537
55,Tasty Point,Italian,Nashik,Mg Road,10:00:00,22:00:00,3.5,213.0,Ekavir Sachdeva,Delivery Only,28.100025,70.845188
56,Green Corner,Burgers,Raipur,Park Street,10:00:00,22:00:00,3.6,806.0,Harrison Chhabra,Dine-In & Delivery,30.760803,88.381841
57,Green Bites,North Indian,Bengaluru,Hill Road,11:00:00,22:00:00,3.8,764.0,George Din,Delivery Only,9.138685,79.971382
58,Royal Cafe,Mexican,Ludhiana,Civil Lines,07:00:00,01:00:00,4.1,325.0,Jasmit Som,Cloud Kitchen,24.904366,76.80021
59,The Bites,Italian,Bhopal,Park Street,09:00:00,00:00:00,3.8,119.0,Deepa Ravel,Delivery Only,25.953506,86.38384
60,Blue Treats,Fast Food,Guwahati,Market Area,10:00:00,23:00:00,3.7,187.0,Waida Bhavsar,Delivery Only,13.311138,82.166508
61,Urban Cafe,,Delhi,Station Road,10:00:00,22:00:00,4.2,363.0,Bakhshi Choudhry,Qsr,12.929394,73.931936
62,Green Diner,Continental,Visakhapatnam,Civil Lines,08:00:00,01:00:00,3.7,366.0,Warhi Lall,Dine-In & Delivery,18.680281,83.557
63,Blue Treats,Street Food,Coimbatore,Lake View,07:00:00,01:00:00,4.3,272.0,Wyatt Venkatesh,Dine-In,33.3732,77.507285
64,Urban Treats,Bbq,Guwahati,Sector 12,07:00:00,01:00:00,3.4,518.0,Ayushman Das,Qsr,21.407439,83.470641
65,Royal Cafe,Bbq,Mumbai,Station Road,10:00:00,00:00:00,4.4,516.0,Hamsini Minhas,Dine-In & Delivery,28.031052,71.833513
66,Curry Diner,Bbq,Pune,Mg Road,07:00:00,00:00:00,5.0,263.0,Henry Natarajan,Qsr,9.368334,88.540658
67,Tasty Bites,Chinese,Chandigarh,Central,09:00:00,00:00:00,2.8,547.0,Lopa Ranganathan,Delivery Only,27.548914,72.27833
68,Curry Diner,Mughlai,Kochi,Station Road,10:00:00,01:00:00,3.8,544.0,Ishaan Varkey,Cloud Kitchen,33.066155,75.215477
69,Spicy Kitchen,Fast Food,Vadodara,Station Road,09:00:00,00:00:00,4.3,144.0,Unnati Subramaniam,Delivery Only,8.409621,70.756937
70,Curry Hub,Chinese,Ludhiana,Ring Road,09:00:00,01:00:00,3.8,567.0,Girish Chokshi,Cloud Kitchen,15.360954,71.155022
71,Tasty Hub,Fast Food,Lucknow,Lake View,07:00:00,23:00:00,4.0,414.0,Girik Andra,Delivery Only,25.007463,80.135556
72,Grand Treats,South Indian,Hyderabad,Sector 12,10:00:00,22:00:00,4.3,649.0,Bahadurjit Narula,Cloud Kitchen,17.632892,86.636804
73,The Corner,Healthy Food,Kochi,Hill Road,09:00:00,01:00:00,2.9,765.0,Pallavi Dutta,Dine-In & Delivery,8.173008,80.377431
74,Golden Hub,Biryani,Bengaluru,Old Town,09:00:00,23:00:00,3.3,569.0,Forum Mani,Dine-In & Delivery,30.755231,85.162605
75,Urban Diner,Italian,Guwahati,Central,07:00:00,01:00:00,3.7,700.0,Maanas Bhatt,Qsr,22.140093,85.663616
76,Blue Diner,Italian,Patna,Ring Road,07:00:00,00:00:00,4.3,567.0,Manya Doctor,Qsr,32.065398,77.968541
77,Tasty House,Healthy Food,Pune,Mg Road,07:00:00,00:00:00,4.0,342.0,Tara Agarwal,Dine-In,33.352494,82.204076
78,Blue Treats,Biryani,Pune,Old Town,11:00:00,22:00:00,3.4,173.0,Arunima Tripathi,Dine-In,27.291874,76.991984
79,Blue Point,Burgers,Bhubaneswar,Park Street,10:00:00,00:00:00,3.6,632.0,Eshana Khare,Qsr,17.952234,76.510123
80,Royal Treats,Healthy Food,Mumbai,Old Town,08:00:00,23:00:00,3.4,691.0,Neelima Mangat,Dine-In,18.976863,78.634447
81,Royal Corner,Chinese,Indore,Old Town,09:00:00,22:00:00,3.4,417.0,Indira Baria,Qsr,28.209751,75.564439
82,Urban Corner,Thai,Raipur,Station Road,08:00:00,22:00:00,4.1,655.0,Ekanta Chander,Dine-In,19.989458,88.96557
83,Urban Cafe,Desserts,Vadodara,Sector 12,11:00:00,01:00:00,3.7,546.0,Ayushman Oza,Qsr,20.824142,72.603766
84,Green House,Mughlai,Indore,Ring Road,08:00:00,00:00:00,4.0,400.0,Omaja Tara,Qsr,10.230425,73.75169
85,The House,North Indian,Mumbai,Old Town,10:00:00,00:00:00,3.4,538.0,Urmi Saraf,Delivery Only,25.94002,87.235725
86,Spicy Grill,North Indian,Delhi,Mg Road,10:00:00,23:00:00,3.9,386.0,Rohan Aggarwal,Cloud Kitchen,28.064536,78.678323
87,The Treats,Fast Food,Raipur,Central,10:00:00,01:00:00,4.0,564.0,Shivani Sanghvi,Qsr,11.755044,76.380293
88,Royal Kitchen,Desserts,Patna,Station Road,11:00:00,22:00:00,3.1,340.0,Rachita Mani,Qsr,21.104064,86.530825
89,The Diner,South Indian,Delhi,Central,08:00:00,23:00:00,3.4,270.0,Rachana Wagle,Delivery Only,8.092184,77.973916
90,Blue Kitchen,Bbq,Visakhapatnam,Station Road,10:00:00,00:00:00,3.5,669.0,Darsh Varkey,Dine-In & Delivery,16.91593,75.627986
91,The House,Fast Food,Bengaluru,Ring Road,08:00:00,00:00:00,4.1,230.0,Yauvani Nagy,Qsr,25.401153,81.968118
92,Tasty Diner,Sushi,Chandigarh,Lake View,07:00:00,22:00:00,4.0,535.0,Lakshmi Borra,Qsr,31.580224,71.926546
93,Blue Treats,Street Food,Delhi,Sector 12,08:00:00,23:00:00,3.7,192.0,Yachana Nigam,Cloud Kitchen,30.98424,81.897428
94,Royal Diner,Bakery,Chandigarh,Old Town,11:00:00,01:00:00,3.4,132.0,Ekansh Goda,Cloud Kitchen,20.182064,83.89723
95,Curry Hub,Pizza,Bhopal,Old Town,08:00:00,23:00:00,5.0,104.0,Ekantika Thakkar,Qsr,18.609055,87.025983
96,Grand Cafe,South Indian,Kochi,Lake View,11:00:00,22:00:00,3.3,445.0,Anamika Misra,Dine-In & Delivery,32.253715,86.287203
97,Curry Hub,Continental,Patna,Civil Lines,07:00:00,00:00:00,3.0,218.0,Nihal Vig,Dine-In & Delivery,13.376717,87.490593
98,Blue Grill,Chinese,Delhi,New Town,07:00:00,22:00:00,4.0,490.0,Ati Sharma,Delivery Only,16.681219,70.200941
99,Golden Grill,Sushi,Nashik,Lake View,09:00:00,22:00:00,4.1,593.0,Niharika Char,Cloud Kitchen,32.313018,86.595954
100,Grand Treats,Mughlai,Kolkata,Park Street,08:00:00,22:00:00,3.9,312.0,Jagdish Tella,Dine-In,9.763339,87.023818
101,Curry Treats,Sushi,Lucknow,Ring Road,08:00:00,00:00:00,4.1,728.0,Chasmum Sem,Delivery Only,24.660748,77.55967
102,The Point,Mughlai,Bhubaneswar,Lake View,08:00:00,23:00:00,4.2,277.0,Aryan Sachdev,Dine-In & Delivery,21.369064,85.238109
103,Grand Treats,Bbq,Patna,Park Street,08:00:00,22:00:00,4.2,561.0,Ladli Singh,Cloud Kitchen,14.016124,73.678778
104,Royal Cafe,Seafood,Kolkata,Station Road,11:00:00,23:00:00,,403.0,Liam Dayal,Qsr,31.987965,81.964705
105,Royal Grill,,Delhi,Central,09:00:00,00:00:00,,682.0,Ganga Kala,Qsr,30.433987,84.935762
106,Tasty Corner,Italian,Nashik,Lake View,08:00:00,23:00:00,3.6,158.0,Balhaar Pandit,Dine-In & Delivery,16.648852,71.497701
107,Golden Kitchen,Seafood,Vadodara,Central,11:00:00,23:00:00,4.2,400.0,Dipta Dave,Dine-In & Delivery,20.722458,79.378792
108,Spicy Hub,Chinese,Jaipur,Station Road,07:00:00,00:00:00,4.0,488.0,Ishita Goel,Cloud Kitchen,20.993617,80.340814
109,Urban Point,South Indian,Kolkata,Civil Lines,11:00:00,01:00:00,4.0,367.0,Lipika Jayaraman,Qsr,26.815656,80.267707
110,Royal Point,Biryani,Ludhiana,Sector 12,08:00:00,23:00:00,4.4,280.0,Zarna Rana,Dine-In,20.113502,78.543654
111,Spicy Grill,Desserts,Chennai,Market Area,11:00:00,00:00:00,4.0,528.0,Hemangini Pathak,Dine-In,22.236056,82.724013
112,The Grill,Pizza,Kolkata,Central,09:00:00,23:00:00,3.8,608.0,Saumya Gokhale,Qsr,27.797747,79.62503
113,Grand House,Biryani,Ahmedabad,Mg Road,09:00:00,22:00:00,3.7,909.0,Vrinda Chakrabarti,Dine-In,28.498344,78.943647
114,Green Bites,Bbq,Pune,Civil Lines,07:00:00,00:00:00,4.0,697.0,Falguni Sahni,Delivery Only,33.820033,85.041005
115,Curry Diner,Continental,Kochi,Old Town,11:00:00,00:00:00,4.3,734.0,Jeevika Walia,Delivery Only,16.948754,73.229407
116,Curry Corner,Street Food,Vadodara,Sector 12,08:00:00,00:00:00,3.9,675.0,Hitesh Ramakrishnan,Dine-In,32.058986,84.738879
117,Spicy Point,Mughlai,Jaipur,Mg Road,10:00:00,00:00:00,4.6,507.0,Devika Apte,Delivery Only,19.311452,84.984945
118,Blue Kitchen,Healthy Food,Coimbatore,Civil Lines,11:00:00,01:00:00,,815.0,Dayamai Mani,Cloud Kitchen,29.548917,71.757157
119,Urban Kitchen,Fast Food,Kolkata,Lake View,07:00:00,01:00:00,3.9,465.0,Netra Viswanathan,Delivery Only,28.788262,70.783231
120,Grand Treats,South Indian,Lucknow,Ring Road,09:00:00,00:00:00,4.0,293.0,Rajata Balan,Dine-In,22.091169,87.163625
121,Grand Kitchen,Bbq,Bengaluru,Market Area,10:00:00,01:00:00,4.1,519.0,Kritika Shah,Qsr,14.675958,82.9248
122,Spicy House,Fast Food,Vadodara,Mg Road,10:00:00,23:00:00,3.9,436.0,Harish Som,Dine-In,20.077949,85.381597
123,Grand Diner,Desserts,Ludhiana,Civil Lines,10:00:00,01:00:00,3.8,373.0,Anvi Bose,Dine-In,28.404769,70.840005
124,Golden Kitchen,Desserts,Surat,Hill Road,10:00:00,01:00:00,4.3,508.0,Keya Barad,Cloud Kitchen,13.695379,81.495459
125,Grand Bites,Mexican,Visakhapatnam,Market Area,10:00:00,22:00:00,4.4,345.0,Wridesh Patel,Dine-In & Delivery,18.639347,77.802388
126,Green Bites,Bakery,Bhubaneswar,Market Area,11:00:00,00:00:00,4.5,628.0,Vasatika Nagar,Qsr,31.798054,88.862734
127,The Treats,Fast Food,Bengaluru,Station Road,09:00:00,00:00:00,3.8,316.0,Lavanya Saxena,Dine-In & Delivery,23.776951,72.71267
128,Tasty Hub,Mughlai,Lucknow,Central,09:00:00,22:00:00,4.2,132.0,Amara Bal,Delivery Only,13.586816,83.209664
129,Spicy House,Mexican,Pune,Mg Road,09:00:00,01:00:00,3.7,505.0,Ekbal Jayaraman,Cloud Kitchen,22.527646,88.352346
130,Blue Hub,Desserts,Surat,Central,09:00:00,01:00:00,3.8,235.0,Niharika Joshi,Delivery Only,12.457422,78.817753
131,Curry Cafe,Fast Food,Chennai,Station Road,10:00:00,22:00:00,3.9,250.0,Shravya Sharaf,Dine-In,27.349934,70.927446
132,The Corner,Bakery,Bhopal,Park Street,11:00:00,01:00:00,4.0,371.0,Mahika Palan,Dine-In & Delivery,28.932861,82.100718
133,Curry Cafe,Chinese,Ahmedabad,Central,08:00:00,01:00:00,3.8,285.0,Ganga Bobal,Qsr,27.909297,87.964966
134,Curry Corner,South Indian,Ludhiana,Park Street,10:00:00,23:00:00,4.3,420.0,Bakhshi Tripathi,Dine-In & Delivery,28.380708,84.209622
135,Golden Hub,Thai,Bengaluru,Ring Road,11:00:00,00:00:00,3.5,425.0,Anika Gill,Dine-In & Delivery,9.791923,70.863629
136,The Corner,Street Food,Patna,Station Road,08:00:00,00:00:00,4.8,516.0,Priya Kalla,Delivery Only,14.682802,83.863698
137,Grand Diner,Mughlai,Ahmedabad,Central,07:00:00,23:00:00,4.4,127.0,Advaith Babu,Delivery Only,32.19192,71.473518
138,Green Hub,Thai,Hyderabad,Central,08:00:00,01:00:00,3.8,250.0,Dev Sachdeva,Dine-In,22.960212,73.170332
139,Urban Grill,South Indian,Mumbai,Station Road,07:00:00,00:00:00,3.6,296.0,Anmol Ranganathan,Qsr,20.491403,74.75687
140,Curry Kitchen,Seafood,Visakhapatnam,Central,11:00:00,01:00:00,4.5,593.0,Om Natt,Qsr,11.638476,83.329077
141,Blue Kitchen,Continental,Raipur,Old Town,08:00:00,01:00:00,,357.0,Dayita Dhawan,Dine-In,18.783051,70.280085
142,Blue House,Healthy Food,Bhopal,Station Road,10:00:00,01:00:00,4.1,628.0,Jonathan Kadakia,Delivery Only,12.530675,85.144639
143,The Cafe,Bbq,Raipur,New Town,10:00:00,00:00:00,4.4,577.0,Harrison Ravel,Dine-In,22.781746,85.040603
144,Royal Point,Bakery,Jaipur,Civil Lines,10:00:00,23:00:00,4.8,535.0,Vedhika Mall,Dine-In,32.743502,77.274709
145,Blue Grill,Italian,Mumbai,Mg Road,08:00:00,23:00:00,3.7,287.0,Arjun Deshpande,Dine-In,30.941491,75.536463
146,Golden Bites,North Indian,Jaipur,Old Town,09:00:00,23:00:00,3.4,208.0,Pooja Sampath,Qsr,10.165451,73.196864
147,Blue Treats,Street Food,Bhopal,Old Town,09:00:00,01:00:00,4.2,768.0,Vrishti Tailor,Cloud Kitchen,24.999061,82.283254
148,Tasty Grill,Burgers,Hyderabad,Central,09:00:00,23:00:00,4.0,815.0,Udarsh Oza,Dine-In,13.102466,72.893116
149,Blue Kitchen,Fast Food,Pune,Ring Road,07:00:00,22:00:00,3.9,571.0,Isha Agarwal,Cloud Kitchen,11.565131,85.538291
150,Green Point,North Indian,Pune,Civil Lines,09:00:00,00:00:00,3.1,612.0,Caleb De,Dine-In & Delivery,13.892575,70.612199
151,Royal Bites,Italian,Chennai,Sector 12,10:00:00,22:00:00,3.6,616.0,Abeer Mukhopadhyay,Cloud Kitchen,18.00071,77.281201
152,Green Treats,Healthy Food,Pune,Hill Road,11:00:00,23:00:00,4.5,510.0,Yashica Kamdar,Dine-In,22.867086,84.556358
153,Urban House,Continental,Kolkata,Central,10:00:00,01:00:00,4.1,473.0,Agastya Dugal,Qsr,13.240697,80.0453
154,Urban Diner,Sushi,Ludhiana,Mg Road,11:00:00,01:00:00,4.2,824.0,Rachana Kata,Cloud Kitchen,23.977803,74.889234
155,Urban House,Italian,Raipur,Station Road,11:00:00,23:00:00,3.9,482.0,Ati Nagar,Cloud Kitchen,15.189828,82.345562
156,Curry Diner,Street Food,Bhopal,Park Street,10:00:00,00:00:00,,534.0,Kamala Nayak,Cloud Kitchen,27.935212,81.406324
157,Spicy Corner,Pizza,Patna,Central,07:00:00,01:00:00,3.5,410.0,Ishwar Choudhary,Delivery Only,20.807573,88.761304
158,Blue Grill,Thai,Raipur,Civil Lines,08:00:00,00:00:00,4.1,126.0,Krishna Swamy,Dine-In,14.388871,71.790805
159,The Point,Thai,Surat,Lake View,09:00:00,00:00:00,4.1,500.0,Ridhi Khatri,Delivery Only,12.254287,88.930548
160,Royal House,Desserts,Vadodara,Hill Road,09:00:00,23:00:00,4.3,322.0,Ishani Aggarwal,Qsr,28.352483,77.395414
161,Royal Treats,North Indian,Kolkata,Station Road,08:00:00,22:00:00,4.5,510.0,Isaac Khatri,Dine-In,18.130599,81.847198
162,Royal Cafe,Pizza,Chandigarh,Mg Road,07:00:00,01:00:00,,176.0,Nihal Saraf,Dine-In,26.062193,75.3442
163,Golden Kitchen,Bbq,Kochi,Old Town,11:00:00,23:00:00,3.6,624.0,Yasti Thaman,Delivery Only,12.191331,84.607361
164,Urban Point,Seafood,Kolkata,Sector 12,09:00:00,00:00:00,4.1,100.0,Wriddhish Walia,Dine-In & Delivery,30.151693,74.621598
165,Royal Hub,Mexican,Vadodara,Civil Lines,08:00:00,22:00:00,3.7,475.0,Kashish Shanker,Dine-In & Delivery,21.694466,72.267474
166,Golden Corner,Mexican,Ludhiana,Central,07:00:00,00:00:00,4.9,707.0,Abdul Toor,Cloud Kitchen,24.11648,83.393867
167,Grand House,Italian,Mumbai,Central,09:00:00,00:00:00,3.8,486.0,Triya Sandal,Delivery Only,18.377851,73.937329
168,Green Kitchen,Bbq,Vadodara,Central,10:00:00,00:00:00,3.2,100.0,Sathvik Gala,Cloud Kitchen,23.841533,80.899362
169,The Corner,South Indian,Raipur,Ring Road,07:00:00,00:00:00,3.7,650.0,Bhavini Agrawal,Qsr,31.993829,88.543784
170,Grand Point,Continental,Coimbatore,Station Road,10:00:00,01:00:00,4.0,300.0,Avi Shukla,Delivery Only,20.007398,88.124873
171,Green Hub,Burgers,Ahmedabad,Hill Road,11:00:00,01:00:00,4.4,808.0,Wyatt Dhar,Cloud Kitchen,32.23818,79.748832
172,Green Diner,Burgers,Nashik,Old Town,09:00:00,23:00:00,3.2,439.0,Riya Shan,Dine-In,9.233143,82.715144
173,Grand Cafe,Continental,Raipur,Lake View,10:00:00,01:00:00,3.6,458.0,Prisha Chand,Qsr,24.59017,85.601409
174,Urban Cafe,Sushi,Visakhapatnam,Mg Road,07:00:00,00:00:00,,1008.0,Nachiket Bali,Dine-In & Delivery,13.582226,73.965719
175,Tasty Bites,Burgers,Kochi,Civil Lines,11:00:00,00:00:00,3.8,510.0,Shivansh Mannan,Dine-In,9.006943,83.220907
176,The Corner,Healthy Food,Visakhapatnam,Civil Lines,09:00:00,00:00:00,4.0,199.0,Devansh Dar,Qsr,20.653998,85.530411
177,Royal Hub,North Indian,Bengaluru,Ring Road,07:00:00,01:00:00,4.0,155.0,Tara Nazareth,Cloud Kitchen,16.145653,87.481302
178,Blue Kitchen,South Indian,Vadodara,Ring Road,10:00:00,23:00:00,4.8,630.0,Reva Mishra,Dine-In,30.370861,86.78584
179,The Point,Desserts,Bhubaneswar,Hill Road,09:00:00,22:00:00,3.6,416.0,Rachita Parekh,Dine-In & Delivery,14.736787,87.428564
180,Golden Cafe,Mughlai,Guwahati,Park Street,08:00:00,23:00:00,4.4,504.0,Wriddhish Singh,Delivery Only,31.854691,71.688143
181,Royal Corner,South Indian,Guwahati,Sector 12,07:00:00,00:00:00,3.1,483.0,Abha Halder,Dine-In,30.449467,73.730514
182,Urban Treats,Fast Food,Hyderabad,Mg Road,11:00:00,23:00:00,4.4,100.0,Zaid Mammen,Dine-In & Delivery,20.119357,75.742805
183,Grand Treats,Healthy Food,Delhi,Central,09:00:00,22:00:00,4.0,282.0,Rishi Menon,Dine-In & Delivery,11.198849,72.445989
184,Urban Treats,Thai,Kolkata,Lake View,07:00:00,23:00:00,4.5,359.0,Mekhala Chauhan,Qsr,28.733941,75.882587
185,Curry Cafe,Sushi,Ludhiana,Sector 12,10:00:00,23:00:00,3.6,615.0,Aadhya Rajan,Qsr,20.651386,70.822374
186,The Kitchen,Italian,Delhi,Civil Lines,07:00:00,01:00:00,3.5,466.0,Samesh Rai,Cloud Kitchen,33.175507,81.221301
187,Curry House,Healthy Food,Guwahati,Central,10:00:00,23:00:00,4.0,411.0,Brinda Varty,Cloud Kitchen,28.066202,71.932119
188,Curry Hub,South Indian,Patna,Sector 12,10:00:00,23:00:00,3.2,275.0,Netra Borde,Dine-In,22.637567,73.11559
189,The Diner,Bakery,Hyderabad,Sector 12,10:00:00,23:00:00,3.8,100.0,Yash Gour,Cloud Kitchen,8.522868,88.346501
190,Urban Hub,Street Food,Guwahati,Central,10:00:00,01:00:00,3.9,397.0,Rajata Hari,Delivery Only,12.970708,87.473557
191,Curry Treats,Mughlai,Vadodara,New Town,09:00:00,01:00:00,4.2,579.0,Gunbir Babu,Dine-In & Delivery,21.710877,85.093692
192,Blue Bites,Burgers,Coimbatore,Station Road,11:00:00,23:00:00,3.3,346.0,Mohini Sura,Dine-In & Delivery,12.805746,83.784319
193,Spicy Kitchen,Seafood,Bhopal,Old Town,07:00:00,23:00:00,3.4,344.0,Gunbir More,Cloud Kitchen,20.191116,85.09506
