PromotionID,CouponCode,DiscountPercentage,CampaignName,StartDate,EndDate
57,ZOM9TQC1,25,Late Night Cravings,15/10/2023,2023-10-21
58,ZOM9RAB9,20,Payday Delight,2023.05.04,11/06/2023
59,ZOM03ZYB,15,First Order Free Delivery,08/07/2024,23/07/2024
60,ZOMXA87K,20,Republic Day Offer,2023-09-29,2023-10-06
61,ZOMU9ASQ,40,Summer Splash,12-05-2022,05/27/2022
62,ZOMZ1DCT,25,Weekend Bonanza,2023-02-06,02/25/2023
63,ZOMFCC3Y,25,Mega Cashback Week,13/06/2024,2024-07-14
64,ZOMDLTN4,20,Payday Delight,17-12-2023,2023-12-24
65,ZOMAPL43,20,Mega Cashback Week,11/08/2023,08/23/2023
66,ZOMH1BSF,20,Monsoon Munchies,09/01/2024,09-10-2024
67,ZOMGSMXR,20,Late Night Cravings,24/08/2023,2023-09-01
68,ZOM6WLVW,15,Monsoon Munchies,2022.04.28,11/05/2022
69,ZOMZKHK6,15,Mega Cashback Week,2024.05.04,2024-05-12
70,ZOMNZ79M,30,New User Special,14-10-2022,05/11/2022
71,ZOMKH3LV,10,Festive Feast,28-01-2023,11-03-2023
72,ZOM2X3MD,10,Payday Delight,18/03/2023,26/03/2023
73,ZOMF9TWJ,10,Late Night Cravings,16-11-2022,04/12/2022
74,ZOM2V18W,20,Late Night Cravings,2024.06.03,14-07-2024
75,ZOMGLYQE,40,App Exclusive Deal,09-02-2023,22/02/2023
76,ZOM6ELGA,40,First Order Free Delivery,09-04-2024,2024.04.26
77,ZOMQ052J,20,Festive Feast,29-04-2023,2023-05-11
78,ZOMY6PLS,15,Summer Splash,2023.10.24,11/28/2023
79,ZOMDRAKE,50,Mega Cashback Week,15/08/2024,06/09/2024
80,ZOM9NE98,40,Festive Feast,2023-07-02,2023-08-10
81,ZOMXM4RF,15,New User Special,12-11-2023,2023.11.28
82,ZOMJ3NF9,20,Late Night Cravings,05/06/2024,03-06-2024
83,ZOMYH8M3,30,Payday Delight,08/01/2022,2022-02-21
84,ZOMJJ3GG,50,First Order Free Delivery,23-11-2022,12/11/2022
85,ZOM2UBVJ,50,Mega Cashback Week,28/10/2023,11/08/2023
86,ZOM66FQ7,25,Republic Day Offer,12-09-2024,24-10-2024
87,ZOMRQDS6,30,App Exclusive Deal,04-02-2024,2024-02-15
88,ZOMZCTTU,25,Festive Feast,28-01-2023,2023.02.20
89,ZOMX4BZ5,40,Festive Feast,2023.07.27,29/08/2023
90,ZOMLJCNH,20,Weekend Bonanza,2024-06-16,06/22/2024
91,ZOMW4BX8,50,Mega Cashback Week,26-11-2023,01/09/2024
92,ZOMXJWLW,20,Summer Splash,2023.06.06,2023.07.19
93,ZOMNRTXE,25,Mega Cashback Week,12/04/2022,27-05-2022
94,ZOMHAYFW,20,Monsoon Munchies,2024.06.10,21/06/2024
95,ZOMNGA1X,40,App Exclusive Deal,2023-04-10,25/05/2023
96,ZOMMGPV6,30,Festive Feast,18/02/2024,03-03-2024
97,ZOMMN0VB,50,Late Night Cravings,2023-12-01,2024-01-02
98,ZOMSXZPF,10,New User Special,11/19/2023,02-01-2024
99,ZOMGJACH,20,Republic Day Offer,10/10/2022,23/10/2022
100,ZOMVYJQR,40,Mega Cashback Week,20-12-2023,03/02/2024
101,ZOMVHUJJ,10,Festive Feast,2023-09-20,09/29/2023
102,ZOMNN5J7,10,Weekend Bonanza,2023.07.27,2023.08.04
103,ZOMPNMRX,30,Late Night Cravings,2024-09-21,2024-09-26
104,ZOMDSG4T,40,Great Indian Food Fest,22-02-2023,19-03-2023
105,ZOM85VXV,40,Festive Feast,16/06/2023,2023-06-23
106,ZOM5KTJY,50,First Order Free Delivery,06/08/2024,30-08-2024
107,ZOM2977W,30,Mega Cashback Week,2023.10.29,12/02/2023
108,ZOMF22RC,25,Monsoon Munchies,01/07/2024,07/29/2024
109,ZOML1U8Y,30,App Exclusive Deal,09-02-2022,17-03-2022
110,ZOMSQ890,10,Festive Feast,2022.10.14,2022.11.01
111,ZOM7MLZL,15,App Exclusive Deal,21/04/2022,2022-05-27
112,ZOMJ4KYH,10,Monsoon Munchies,03/23/2023,05-04-2023
113,ZOMLKP3Q,40,Summer Splash,2022.11.22,2022-11-25
114,ZOM5HQ3L,50,Great Indian Food Fest,2023-04-29,05/30/2023
115,ZOMK85Q4,40,App Exclusive Deal,12-05-2022,2022-05-27
116,ZOM3FE8U,30,Republic Day Offer,2024-11-27,30-11-2024
117,ZOMRS384,30,Payday Delight,2023-01-08,2023-02-06
118,ZOM49WHX,30,First Order Free Delivery,2023.12.04,08-01-2024
119,ZOMF62SP,15,Payday Delight,10/14/2024,20-11-2024
120,ZOM323SM,10,Monsoon Munchies,31-01-2024,03/16/2024
121,ZOMS8P21,50,App Exclusive Deal,05/09/2024,2024-10-07
122,ZOMVWMYG,15,Republic Day Offer,02/17/2023,03-03-2023
123,ZOMVAVQC,20,First Order Free Delivery,2024.03.13,04/11/2024
124,ZOMV898P,40,New User Special,07/09/2022,08-08-2022
125,ZOM6B4AP,15,App Exclusive Deal,07/26/2022,2022.08.12
126,ZOM1VLFS,50,Republic Day Offer,22/03/2022,2022-04-13
127,ZOMYUNCJ,10,Republic Day Offer,2023.03.22,2023.03.27
128,ZOMRBK6U,20,App Exclusive Deal,05-01-2023,2023.02.12
129,ZOMRPA7Q,25,Great Indian Food Fest,2023-11-24,15-12-2023
130,ZOMS6NNL,30,Payday Delight,2022.04.06,16-04-2022
131,ZOM6MGZ7,40,First Order Free Delivery,2023.05.27,2023.06.29
132,ZOM5H7Z1,20,Mega Cashback Week,19/05/2024,2024-06-13
133,ZOMVX6UU,20,Summer Splash,2022-05-21,10-06-2022
134,ZOM8N8XZ,40,First Order Free Delivery,2023-03-16,10/04/2023
135,ZOMBQZT6,10,Monsoon Munchies,2022-11-24,2022.12.08
136,ZOM92JB0,15,Summer Splash,2024-02-20,16-03-2024
137,ZOMQJT3W,10,First Order Free Delivery,2022.05.18,2022-05-22
138,ZOMMZ1QT,25,Great Indian Food Fest,18-04-2022,2022-05-05
139,ZOM526H1,50,Weekend Bonanza,30/08/2023,2023.10.10
140,ZOM6S9ES,15,Weekend Bonanza,18/05/2024,06/12/2024
141,ZOMMNX14,25,Mega Cashback Week,2022.06.19,07/21/2022
142,ZOMLSVCM,10,New User Special,30/04/2024,29/05/2024
143,ZOMTL27T,15,App Exclusive Deal,2024-08-19,09/12/2024
144,ZOMLGCHU,30,Mega Cashback Week,24-05-2024,29/05/2024
145,ZOM7CRLP,15,Payday Delight,13-01-2023,2023-02-02
146,ZOM1FVN6,30,Monsoon Munchies,16-02-2024,2024.03.21
147,ZOMC4E2K,50,First Order Free Delivery,2022.04.10,19/04/2022
148,ZOM3B2EY,40,App Exclusive Deal,05/13/2022,2022-06-05
149,ZOMAZGM7,20,Mega Cashback Week,04/02/2024,2024.02.29
150,ZOMRTAQB,40,Festive Feast,12/05/2024,25-05-2024
151,ZOM2FMG4,25,Republic Day Offer,2023.06.06,07/14/2023
152,ZOMJN6UB,50,Payday Delight,06/02/2022,2022-02-20
153,ZOMFB4G0,15,Weekend Bonanza,2023-04-21,2023-05-28
154,ZOMWTEYP,30,Monsoon Munchies,2023-02-09,2023-03-15
155,ZOMSN3JZ,40,App Exclusive Deal,2024.02.21,2024-03-21
156,ZOMCA56V,40,Summer Splash,2023.07.01,2023.07.06
157,ZOMMNANR,30,Payday Delight,2022-09-16,20-09-2022
158,ZOM9RSYX,15,Late Night Cravings,03/16/2024,2024.04.25
159,ZOM3S82N,30,Festive Feast,10/26/2023,02/12/2023
160,ZOM11FX1,15,First Order Free Delivery,15/10/2023,10/24/2023
161,ZOM99L2D,30,New User Special,2023-07-27,2023.07.24
162,ZOM1N515,40,App Exclusive Deal,2024.05.02,06/16/2024
163,ZOMFEGJC,20,Great Indian Food Fest,06/01/2022,2022-02-08
164,ZOMVWX7M,40,Festive Feast,08-06-2024,07/07/2024
165,ZOMYDTKW,20,Monsoon Munchies,2023-10-14,10/22/2023
166,ZOMEBPSX,40,Monsoon Munchies,22-08-2024,2024.09.18
167,ZOMKPUNR,30,Mega Cashback Week,10/08/2024,25/10/2024
168,ZOMS1SH0,40,Republic Day Offer,2024-08-17,22/09/2024
169,ZOMUTS9D,25,Weekend Bonanza,2023-06-19,06/24/2023
170,ZOMJUDWT,40,Monsoon Munchies,08/06/2024,2024-09-18
171,ZOM37QFC,40,Great Indian Food Fest,11/24/2023,2023-12-07
172,ZOMGCS4D,40,App Exclusive Deal,17/11/2023,15-12-2023
173,ZOM2L4WK,15,First Order Free Delivery,27/03/2022,26-04-2022
174,ZOMQNWV2,15,Summer Splash,06/15/2023,2023-07-12
175,ZOMPN5KJ,50,Republic Day Offer,28/11/2022,2022-12-16
176,ZOMEJSWS,20,Summer Splash,25/07/2023,08/11/2023
177,ZOMSVXDW,50,Weekend Bonanza,2023-04-09,2023.05.15
178,ZOM17HQ0,40,Summer Splash,2022.01.26,06/03/2022
179,ZOM0ME0U,10,Mega Cashback Week,2023-11-04,29/11/2023
180,ZOMJKHB4,50,App Exclusive Deal,2022-10-22,03/11/2022
181,ZOMS9U0L,40,Monsoon Munchies,12/04/2023,2023.05.25
182,ZOM1AX89,40,First Order Free Delivery,03/22/2023,2023-05-01
183,ZOMFCLVY,30,Payday Delight,22-04-2024,10-05-2024
184,ZOMK774L,10,Great Indian Food Fest,2024-08-26,2024.09.14
185,ZOMCFY14,25,Festive Feast,01/16/2023,2023.02.22
186,ZOMKA42N,10,Late Night Cravings,26/03/2023,04/16/2023
187,ZOMHEH0W,30,Late Night Cravings,2022-03-10,18/04/2022
188,ZOMDY1H6,40,First Order Free Delivery,07/04/2023,04/16/2023
189,ZOM2GW3X,40,New User Special,2023-06-16,03/07/2023
190,ZOMD0G6A,40,Festive Feast,2023.11.14,2023-12-14
191,ZOMX3S3A,40,Mega Cashback Week,2022.09.24,10/10/2022
192,ZOMHX357,40,Festive Feast,14/04/2022,2022-04-19
193,ZOMW91KF,15,Summer Splash,2024-05-12,2024-06-14
194,ZOMSNVD3,20,Mega Cashback Week,2024-11-14,19/12/2024
195,ZOM16JFT,50,Late Night Cravings,2023.08.26,09/20/2023
196,ZOMRHK2F,30,Weekend Bonanza,07/08/2023,2023.09.07
197,ZOMAR0US,50,Weekend Bonanza,07-08-2024,2024-08-11
198,ZOM9B8KJ,15,New User Special,2024.08.27,2024.09.07
199,ZOMYHH9J,30,Festive Feast,09-10-2022,13-10-2022
200,ZOMFCR7T,25,Monsoon Munchies,05/10/2024,2024-10-20
201,ZOMBC95S,15,Mega Cashback Week,01/11/2023,07-02-2023
202,ZOM8FR78,50,Payday Delight,2022.01.25,2022.02.03
203,ZOM74N3E,20,Great Indian Food Fest,03/10/2023,04/01/2023
204,ZOMMYSZB,50,Great Indian Food Fest,08/12/2022,2022-09-08
205,ZOM9ECMM,20,Monsoon Munchies,08/20/2024,06/09/2024
206,ZOMARSH8,25,Weekend Bonanza,2022.11.16,06/12/2022
207,ZOMKE16P,15,New User Special,2024-08-26,2024-09-25
208,ZOMLQPNW,50,Summer Splash,17-10-2023,14-11-2023
209,ZOMAC9G7,25,Summer Splash,01/05/2024,03/02/2024
210,ZOM1UAHF,30,New User Special,2022-09-14,2022-10-23
211,ZOMF4UYD,40,Monsoon Munchies,22/10/2024,2024-12-02
212,ZOM2UW7K,40,Republic Day Offer,06/22/2022,27-06-2022
213,ZOM8BZBC,15,Weekend Bonanza,16/05/2024,06/09/2024
214,ZOMYARSY,10,First Order Free Delivery,2024-11-25,2024-12-08
215,ZOM9HCPH,25,Weekend Bonanza,30/08/2022,30-09-2022
216,ZOMRZFTF,10,Late Night Cravings,14-02-2022,2022-03-24
217,ZOM2J7DX,20,First Order Free Delivery,2023.03.24,04/10/2023
218,ZOMU6LYF,30,Republic Day Offer,01/11/2024,28/01/2024
219,ZOMBUZCZ,30,Payday Delight,2023-05-29,2023-06-25
220,ZOMDK04Y,15,App Exclusive Deal,26/02/2022,2022-03-02
221,ZOMKAR3R,40,Late Night Cravings,18-02-2024,2024-02-21
222,ZOM4KFL0,20,Payday Delight,09/08/2023,20-09-2023
223,ZOMBA0VA,40,Weekend Bonanza,28-03-2024,2024.04.01
224,ZOM6BD11,10,Weekend Bonanza,02/12/2024,15/02/2024
225,ZOMYMR7U,40,Monsoon Munchies,29/03/2024,2024.04.27
226,ZOM5WAPY,20,Summer Splash,07/27/2022,2022.09.05
227,ZOMV49ZD,15,First Order Free Delivery,30-07-2022,22/08/2022
228,ZOMJ2S4J,50,App Exclusive Deal,09-08-2022,2022-09-12
229,ZOM655YP,50,Late Night Cravings,2024.08.11,2024.09.25
230,ZOMNKSNS,40,New User Special,14-08-2023,15-09-2023
231,ZOMVSK3K,25,Summer Splash,2022-03-22,27-03-2022
232,ZOM1KF8P,20,New User Special,01/03/2022,2022.01.26
233,ZOMN0EB8,20,Mega Cashback Week,2024-08-10,30-08-2024
234,ZOM3KYEC,40,Festive Feast,2023-12-03,17/12/2023
235,ZOMPD2W4,20,New User Special,02-03-2023,10-03-2023
236,ZOMPY36Z,40,Mega Cashback Week,07/07/2024,07/15/2024
237,ZOMBWRUG,20,Festive Feast,2023.06.10,20-07-2023
238,ZOM9LF9G,40,Summer Splash,12/26/2023,07/01/2024
239,ZOMKYFLC,20,Weekend Bonanza,08/01/2023,2023-08-25
240,ZOMKXZZW,50,Republic Day Offer,17-08-2022,2022-08-29
241,ZOME41YP,10,Great Indian Food Fest,23-05-2024,06/06/2024
242,ZOM56ERP,10,Late Night Cravings,08/16/2023,26/09/2023
243,ZOMG6AB1,30,Mega Cashback Week,2022.08.28,2022.09.19
244,ZOMX39VU,30,App Exclusive Deal,2024.07.19,07/24/2024
245,ZOM8ZSAR,50,Festive Feast,2023-03-05,2023.04.14
246,ZOMA7MGC,25,Great Indian Food Fest,13/03/2022,2022.04.06
247,ZOM3K002,25,App Exclusive Deal,08-08-2024,2024.08.16
248,ZOM211CP,40,App Exclusive Deal,03-12-2023,12/23/2023
249,ZOM61GB3,20,App Exclusive Deal,30/08/2024,2024-08-25
250,ZOMAQ7JK,15,Late Night Cravings,17-03-2022,03/23/2022
251,ZOM4CBYY,15,Payday Delight,2024.07.19,24-08-2024
252,ZOM64Z2V,10,Great Indian Food Fest,2023.01.06,06-02-2023
253,ZOMXMVGF,10,Mega Cashback Week,08-10-2024,2024.10.27
254,ZOMAMC41,10,First Order Free Delivery,2024-10-05,2024-11-11
255,ZOMGMU0W,40,Mega Cashback Week,04/21/2023,2023-05-07
256,ZOM7HZUQ,30,Weekend Bonanza,2022.03.24,2022-05-04
257,ZOMF6UA0,15,Summer Splash,16/05/2022,2022.05.25
258,ZOMUENYL,20,Festive Feast,2022.07.20,2022-08-31
259,ZOMSSX0W,10,Weekend Bonanza,05/11/2023,25/11/2023
260,ZOM56GL8,25,Weekend Bonanza,18-12-2022,08-01-2023
261,ZOMXHLJJ,20,Summer Splash,21/11/2022,05-01-2023
262,ZOML5M3K,40,Late Night Cravings,26/10/2022,06-11-2022
263,ZOMLV1NS,40,App Exclusive Deal,06/17/2022,24-07-2022
264,ZOMRZE2E,30,Festive Feast,29-10-2022,2022-12-01
265,ZOM9NW8U,30,First Order Free Delivery,2024-10-11,11/03/2024
266,ZOM1SRWB,40,Late Night Cravings,2023.05.21,2023.06.24
267,ZOM4Q00X,30,Payday Delight,08/07/2024,09/05/2024
268,ZOMXWWGT,50,Weekend Bonanza,2023.08.30,09/19/2023
269,ZOM8PC7U,10,Summer Splash,2022-12-29,2023.01.20
270,ZOM4QNB2,30,Summer Splash,2024-03-31,2024.04.29
271,ZOM37E21,30,Late Night Cravings,13/08/2024,15/09/2024
272,ZOMR7DLV,30,Monsoon Munchies,02/05/2023,05/18/2023
273,ZOMUY3Z1,40,Summer Splash,2022.06.20,25/06/2022
274,ZOMQH45P,50,App Exclusive Deal,2023.11.10,12/17/2023
275,ZOMH36FU,15,Festive Feast,11/05/2022,05/26/2022
276,ZOMWEJFP,40,Monsoon Munchies,2022.06.17,06/29/2022
277,ZOMV6ZWQ,20,Late Night Cravings,2022-06-06,2022-06-12
278,ZOMYYWW9,40,Festive Feast,2023-05-21,01-06-2023
279,ZOM50G76,10,Weekend Bonanza,20-07-2022,08/25/2022
280,ZOM7U63N,40,Republic Day Offer,2024.03.05,17/04/2024
281,ZOM7HWRZ,25,Payday Delight,22-07-2022,22-08-2022
282,ZOMEPUQ9,50,Late Night Cravings,18/02/2024,07/03/2024
283,ZOMZFH2D,20,Weekend Bonanza,23-02-2022,25-03-2022
284,ZOMRQU8U,30,Republic Day Offer,2022-07-20,2022-08-21
285,ZOMMJ2VH,30,Great Indian Food Fest,2023.09.21,2023-10-17
286,ZOMHQ852,20,Weekend Bonanza,06/16/2024,2024.07.15
287,ZOMYBZHT,15,New User Special,02/09/2022,2022.09.10
288,ZOM0QK2N,40,App Exclusive Deal,12-08-2022,27-08-2022
289,ZOMNURM3,25,Summer Splash,08/01/2024,02/20/2024
290,ZOMT7KHE,10,New User Special,2023.03.23,04/25/2023
291,ZOM8J566,10,Payday Delight,2022.07.14,08/14/2022
292,ZOMP8Q2W,15,New User Special,06/22/2023,07/07/2023
293,ZOMS2ME6,10,Mega Cashback Week,2023.03.12,2023-03-17
294,ZOMGYKCZ,10,Monsoon Munchies,27-01-2024,07/02/2024
295,ZOMZ961A,25,Payday Delight,08/05/2023,09/13/2023
296,ZOMMUY0F,20,First Order Free Delivery,2024-09-07,2024-10-20
297,ZOMZ1VLS,15,Mega Cashback Week,12/01/2022,2022-01-31
298,ZOMU4HH3,30,Republic Day Offer,2023.08.17,2023.09.18
299,ZOMQ5U50,30,App Exclusive Deal,2024.07.01,2024.08.01
300,ZOMKA2ZX,10,Mega Cashback Week,28-03-2023,05/02/2023
