FeedbackID,OrderID,CustomerRating,DeliveryRating,FoodRating,Review,Sentiment
135,105712,3.0,3,3,Delivery was on time but food was mediocre.,Neutral
136,118886,5.0,5,5,Best biryani in town!,Positive
137,103076,2.0,1,3,Order was incomplete.,Negative
138,108420,3.0,4,3,,Neutral
139,102965,1.0,1,1,Delivery took way too long.,Negative
140,104302,5.0,5,5,"Loved the taste, will order again.",Positive
141,109957,4.0,3,3,Best biryani in town!,Positive
142,103156,1.0,1,2,Food arrived cold and late.,Negative
143,103762,2.0,1,2,Delivery took way too long.,Negative
144,106605,5.0,4,5,Packaging was excellent and food was hot.,Positive
145,103966,4.0,3,4,,Positive
146,120195,5.0,5,5,Delivery partner was very polite.,Positive
147,116653,2.0,2,3,Wrong item delivered.,Negative
148,119573,5.0,4,5,Great food and fast delivery!,Positive
149,114589,5.0,4,5,Packaging was excellent and food was hot.,Positive
150,113717,5.0,5,5,,Positive
151,117538,5.0,5,4,Amazing experience overall.,Positive
152,115143,3.0,3,3,Average experience.,Neutral
153,110087,4.0,5,5,Best biryani in town!,Positive
154,111866,4.0,3,5,Packaging was excellent and food was hot.,Positive
155,107835,,2,3,"Food was okay, nothing special.",Neutral
156,113426,5.0,5,5,Great food and fast delivery!,Positive
157,103513,4.0,4,5,Packaging was excellent and food was hot.,Positive
158,113260,4.0,4,4,,Positive
159,102898,4.0,5,4,Packaging was excellent and food was hot.,Positive
160,108130,2.0,2,2,Delivery took way too long.,Negative
161,104787,3.0,2,4,"Food was okay, nothing special.",Neutral
162,119492,5.0,5,4,Best biryani in town!,Positive
163,106868,5.0,4,5,Packaging was excellent and food was hot.,Positive
164,117467,2.0,3,1,Very disappointed with the service.,Negative
165,112699,2.0,3,1,Order was incomplete.,Negative
166,118082,1.0,1,2,Food arrived cold and late.,Negative
167,102279,5.0,5,5,Amazing experience overall.,Positive
168,103853,1.0,2,2,Delivery took way too long.,Negative
169,115501,2.0,1,3,Delivery took way too long.,Negative
170,115023,4.0,3,3,Packaging was excellent and food was hot.,Positive
171,104650,2.0,3,1,Order was incomplete.,Negative
172,113788,2.0,2,1,Order was incomplete.,Negative
173,114042,5.0,5,4,Best biryani in town!,Positive
174,116702,3.0,4,4,"Food was okay, nothing special.",Neutral
175,115944,5.0,5,4,Packaging was excellent and food was hot.,Positive
176,115406,2.0,3,2,Wrong item delivered.,Negative
177,104567,1.0,1,1,Delivery took way too long.,Negative
178,113322,4.0,4,4,"Loved the taste, will order again.",Positive
179,107981,4.0,3,4,,Positive
180,113203,2.0,3,3,Order was incomplete.,Negative
181,107765,,4,5,"Loved the taste, will order again.",Positive
182,116650,1.0,1,2,Very disappointed with the service.,Negative
183,101270,4.0,5,4,Best biryani in town!,Positive
184,120428,5.0,5,4,Amazing experience overall.,Positive
185,109319,3.0,3,2,Delivery was on time but food was mediocre.,Neutral
186,101010,4.0,3,3,Great food and fast delivery!,Positive
187,105346,5.0,5,5,Delivery partner was very polite.,Positive
188,106203,5.0,5,5,Best biryani in town!,Positive
189,107126,4.0,4,4,Best biryani in town!,Positive
190,100639,3.0,4,4,Delivery was on time but food was mediocre.,Neutral
191,116467,5.0,5,5,Great food and fast delivery!,Positive
192,118303,5.0,4,5,Delivery partner was very polite.,Positive
193,118196,5.0,4,5,Great food and fast delivery!,Positive
194,112116,5.0,5,4,Packaging was excellent and food was hot.,Positive
195,114419,3.0,2,3,Delivery was on time but food was mediocre.,Neutral
196,110999,4.0,4,3,Delivery partner was very polite.,Positive
197,102358,5.0,5,5,Amazing experience overall.,Positive
198,115903,2.0,3,3,Delivery took way too long.,Negative
199,107159,4.0,3,5,Best biryani in town!,Positive
200,100613,1.0,2,2,Delivery took way too long.,Negative
201,107905,,4,4,Delivery partner was very polite.,Positive
202,116118,4.0,5,4,Packaging was excellent and food was hot.,Positive
203,115968,5.0,4,5,Best biryani in town!,Positive
204,108791,5.0,5,5,Great food and fast delivery!,Positive
205,116046,4.0,5,5,"Loved the taste, will order again.",Positive
206,101100,2.0,2,3,Food arrived cold and late.,Negative
207,114702,2.0,2,3,Wrong item delivered.,Negative
208,102590,5.0,5,4,Best biryani in town!,Positive
209,119426,5.0,5,5,Packaging was excellent and food was hot.,Positive
210,116896,4.0,3,5,Great food and fast delivery!,Positive
211,103675,5.0,5,5,Best biryani in town!,Positive
212,107002,2.0,2,2,Quality was not up to the mark.,Negative
213,100606,2.0,1,2,Wrong item delivered.,Negative
214,103388,5.0,5,4,Best biryani in town!,Positive
215,118414,4.0,5,5,Amazing experience overall.,Positive
216,100068,5.0,4,5,"Loved the taste, will order again.",Positive
217,116608,2.0,3,1,Food arrived cold and late.,Negative
218,109515,5.0,4,4,Great food and fast delivery!,Positive
219,116837,5.0,5,5,Delivery partner was very polite.,Positive
220,115377,4.0,3,4,Best biryani in town!,Positive
221,106587,5.0,5,4,,Positive
222,114774,1.0,2,1,Delivery took way too long.,Negative
223,106607,2.0,2,1,Quality was not up to the mark.,Negative
224,106638,5.0,5,5,,Positive
225,109363,4.0,3,5,Delivery partner was very polite.,Positive
226,110002,2.0,3,3,Order was incomplete.,Negative
227,112542,5.0,5,5,Amazing experience overall.,Positive
228,117823,2.0,1,1,Delivery took way too long.,Negative
229,111872,1.0,2,2,Quality was not up to the mark.,Negative
230,109440,5.0,4,5,"Loved the taste, will order again.",Positive
231,101471,5.0,4,5,Packaging was excellent and food was hot.,Positive
232,107372,1.0,1,1,Quality was not up to the mark.,Negative
233,106814,2.0,2,1,Order was incomplete.,Negative
234,114907,4.0,5,5,,Positive
235,105636,3.0,4,3,"Food was okay, nothing special.",Neutral
236,116424,2.0,1,1,Quality was not up to the mark.,Negative
237,110237,4.0,3,3,Amazing experience overall.,Positive
238,111535,5.0,5,5,Packaging was excellent and food was hot.,Positive
239,106173,2.0,3,3,Food arrived cold and late.,Negative
240,112746,2.0,1,3,Quality was not up to the mark.,Negative
241,110554,3.0,3,2,"Food was okay, nothing special.",Neutral
242,109426,5.0,5,5,Delivery partner was very polite.,Positive
243,106765,5.0,4,5,Delivery partner was very polite.,Positive
244,120362,5.0,5,4,Best biryani in town!,Positive
245,119553,2.0,2,3,Delivery took way too long.,Negative
246,111605,5.0,5,4,"Loved the taste, will order again.",Positive
247,100205,2.0,3,1,Wrong item delivered.,Negative
248,100511,,5,4,Delivery partner was very polite.,Positive
249,119173,2.0,2,2,Food arrived cold and late.,Negative
250,104890,5.0,5,5,Great food and fast delivery!,Positive
251,108023,2.0,2,2,Order was incomplete.,Negative
252,113204,1.0,1,1,Very disappointed with the service.,Negative
253,101980,,4,5,Best biryani in town!,Positive
254,114488,5.0,5,4,Great food and fast delivery!,Positive
255,105864,4.0,3,3,Best biryani in town!,Positive
256,104546,5.0,5,4,Great food and fast delivery!,Positive
257,106524,3.0,2,4,,Neutral
258,117555,2.0,3,2,Order was incomplete.,Negative
259,104549,5.0,5,4,Best biryani in town!,Positive
260,116157,4.0,4,4,Delivery partner was very polite.,Positive
261,104778,5.0,5,5,Amazing experience overall.,Positive
262,103684,4.0,4,3,Great food and fast delivery!,Positive
263,114411,1.0,2,1,Wrong item delivered.,Negative
264,102001,4.0,4,3,Packaging was excellent and food was hot.,Positive
265,109942,5.0,4,4,Best biryani in town!,Positive
266,102009,2.0,3,1,Wrong item delivered.,Negative
267,117357,3.0,2,4,Delivery was on time but food was mediocre.,Neutral
268,107913,1.0,2,2,Food arrived cold and late.,Negative
269,100169,5.0,5,5,Packaging was excellent and food was hot.,Positive
270,110409,5.0,5,4,Best biryani in town!,Positive
271,110881,4.0,4,5,"Loved the taste, will order again.",Positive
272,119221,3.0,3,3,Delivery was on time but food was mediocre.,Neutral
273,100321,5.0,4,4,Amazing experience overall.,Positive
274,120256,5.0,5,4,Best biryani in town!,Positive
275,111996,2.0,3,1,Delivery took way too long.,Negative
276,105108,5.0,4,5,"Loved the taste, will order again.",Positive
277,119742,5.0,4,5,Best biryani in town!,Positive
278,111188,5.0,4,5,Great food and fast delivery!,Positive
279,112369,5.0,5,5,Packaging was excellent and food was hot.,Positive
280,106806,5.0,4,4,Great food and fast delivery!,Positive
281,108011,4.0,4,3,Delivery partner was very polite.,Positive
282,108917,3.0,3,4,Average experience.,Neutral
283,100509,4.0,4,5,Great food and fast delivery!,Positive
284,114044,3.0,3,4,Average experience.,Neutral
285,116315,2.0,1,1,Quality was not up to the mark.,Negative
286,111141,,5,3,,Positive
287,106566,3.0,2,2,,Neutral
288,104321,5.0,4,5,Delivery partner was very polite.,Positive
289,112032,5.0,4,5,Amazing experience overall.,Positive
290,109221,3.0,2,2,"Food was okay, nothing special.",Neutral
291,118931,5.0,5,5,Delivery partner was very polite.,Positive
292,114129,2.0,2,3,Food arrived cold and late.,Negative
293,102444,3.0,4,2,,Neutral
294,116954,5.0,5,5,Amazing experience overall.,Positive
295,103389,2.0,3,1,Order was incomplete.,Negative
296,115110,3.0,4,4,Average experience.,Neutral
297,104470,2.0,3,1,Order was incomplete.,Negative
298,119840,4.0,4,5,Packaging was excellent and food was hot.,Positive
299,105060,4.0,4,3,Great food and fast delivery!,Positive
300,117797,5.0,4,5,Packaging was excellent and food was hot.,Positive
301,105839,4.0,4,4,Delivery partner was very polite.,Positive
302,102983,2.0,3,3,Very disappointed with the service.,Negative
303,100790,3.0,3,2,,Neutral
304,116642,5.0,5,5,Great food and fast delivery!,Positive
305,100046,4.0,5,3,Best biryani in town!,Positive
306,107822,4.0,5,3,Delivery partner was very polite.,Positive
307,116387,4.0,5,5,Packaging was excellent and food was hot.,Positive
308,119946,5.0,5,4,Great food and fast delivery!,Positive
309,109932,3.0,2,3,Average experience.,Neutral
310,108489,4.0,4,3,Delivery partner was very polite.,Positive
311,110510,5.0,5,4,Best biryani in town!,Positive
312,103031,5.0,5,4,Packaging was excellent and food was hot.,Positive
313,106454,5.0,5,5,Amazing experience overall.,Positive
314,113676,4.0,3,3,Great food and fast delivery!,Positive
315,106488,5.0,4,4,Great food and fast delivery!,Positive
316,114634,5.0,5,5,"Loved the taste, will order again.",Positive
317,104412,3.0,2,4,Delivery was on time but food was mediocre.,Neutral
318,100792,5.0,5,5,"Loved the taste, will order again.",Positive
319,112047,2.0,3,1,Quality was not up to the mark.,Negative
320,119491,3.0,4,3,Average experience.,Neutral
321,106890,3.0,4,2,"Food was okay, nothing special.",Neutral
322,117131,5.0,5,5,Amazing experience overall.,Positive
323,110394,2.0,3,2,Quality was not up to the mark.,Negative
324,116822,3.0,4,2,,Neutral
325,118838,4.0,5,4,Packaging was excellent and food was hot.,Positive
326,119117,5.0,5,5,Delivery partner was very polite.,Positive
327,112928,1.0,2,1,Wrong item delivered.,Negative
328,110829,2.0,1,3,Wrong item delivered.,Negative
329,105335,2.0,2,3,Food arrived cold and late.,Negative
330,107526,4.0,4,4,Packaging was excellent and food was hot.,Positive
331,119689,2.0,3,2,Wrong item delivered.,Negative
332,112754,5.0,4,4,"Loved the taste, will order again.",Positive
333,109709,4.0,4,3,Delivery partner was very polite.,Positive
334,102331,4.0,5,3,Delivery partner was very polite.,Positive
335,113337,3.0,2,4,Average experience.,Neutral
336,111097,5.0,4,5,Delivery partner was very polite.,Positive
337,114121,5.0,4,5,Great food and fast delivery!,Positive
338,100409,3.0,3,2,Average experience.,Neutral
339,106233,4.0,5,4,Packaging was excellent and food was hot.,Positive
340,113616,3.0,4,3,Delivery was on time but food was mediocre.,Neutral
341,119135,4.0,3,5,Delivery partner was very polite.,Positive
342,105800,4.0,3,4,Delivery partner was very polite.,Positive
343,120043,1.0,1,1,Delivery took way too long.,Negative
344,103335,3.0,4,3,"Food was okay, nothing special.",Neutral
345,114750,1.0,2,2,Quality was not up to the mark.,Negative
346,119345,5.0,4,4,Packaging was excellent and food was hot.,Positive
347,114024,5.0,5,4,Amazing experience overall.,Positive
348,110315,3.0,2,3,,Neutral
349,118230,2.0,1,3,Food arrived cold and late.,Negative
350,100074,5.0,4,4,Packaging was excellent and food was hot.,Positive
351,103702,3.0,2,4,,Neutral
352,107516,5.0,4,4,"Loved the taste, will order again.",Positive
353,114815,4.0,3,4,Best biryani in town!,Positive
354,106811,3.0,4,4,Delivery was on time but food was mediocre.,Neutral
355,120313,3.0,2,2,"Food was okay, nothing special.",Neutral
356,112157,5.0,4,5,Best biryani in town!,Positive
357,104117,2.0,2,2,Quality was not up to the mark.,Negative
358,110717,2.0,3,3,Very disappointed with the service.,Negative
359,105943,5.0,5,4,"Loved the taste, will order again.",Positive
360,100246,4.0,3,3,Great food and fast delivery!,Positive
361,116241,3.0,3,2,,Neutral
362,114054,2.0,1,1,Very disappointed with the service.,Negative
363,101279,4.0,5,4,Great food and fast delivery!,Positive
364,110142,4.0,5,4,Amazing experience overall.,Positive
365,104872,3.0,3,4,Average experience.,Neutral
366,102757,5.0,4,5,Delivery partner was very polite.,Positive
367,105038,3.0,4,3,Delivery was on time but food was mediocre.,Neutral
368,110132,5.0,4,4,"Loved the taste, will order again.",Positive
369,109958,4.0,5,5,Packaging was excellent and food was hot.,Positive
370,104636,5.0,5,4,Great food and fast delivery!,Positive
371,120357,5.0,4,4,Great food and fast delivery!,Positive
372,104151,2.0,2,3,Wrong item delivered.,Negative
373,110393,5.0,4,5,Delivery partner was very polite.,Positive
374,117670,4.0,5,5,Best biryani in town!,Positive
375,111380,3.0,2,3,"Food was okay, nothing special.",Neutral
376,100878,2.0,2,3,Quality was not up to the mark.,Negative
377,101206,5.0,4,5,Amazing experience overall.,Positive
378,115527,5.0,5,5,Delivery partner was very polite.,Positive
379,109575,5.0,4,5,Best biryani in town!,Positive
380,106551,2.0,2,2,Very disappointed with the service.,Negative
381,114101,5.0,5,4,Great food and fast delivery!,Positive
382,103668,4.0,5,5,"Loved the taste, will order again.",Positive
383,115834,5.0,5,4,Packaging was excellent and food was hot.,Positive
384,104456,1.0,1,1,Delivery took way too long.,Negative
385,103557,4.0,3,3,"Loved the taste, will order again.",Positive
386,109462,3.0,4,3,Delivery was on time but food was mediocre.,Neutral
387,113761,3.0,4,4,Average experience.,Neutral
388,111989,3.0,3,3,,Neutral
389,119589,4.0,3,3,Amazing experience overall.,Positive
390,101288,4.0,3,4,Packaging was excellent and food was hot.,Positive
391,111084,4.0,5,4,Great food and fast delivery!,Positive
392,103303,3.0,3,4,,Neutral
393,103225,4.0,4,3,Amazing experience overall.,Positive
394,108907,4.0,5,5,Delivery partner was very polite.,Positive
395,114038,2.0,1,2,Wrong item delivered.,Negative
396,111867,4.0,3,5,"Loved the taste, will order again.",Positive
397,103170,5.0,4,5,"Loved the taste, will order again.",Positive
398,103268,2.0,2,3,Very disappointed with the service.,Negative
399,118936,5.0,4,5,"Loved the taste, will order again.",Positive
400,102932,5.0,5,5,Best biryani in town!,Positive
401,109251,3.0,2,3,"Food was okay, nothing special.",Neutral
402,105881,5.0,5,4,Amazing experience overall.,Positive
403,107759,5.0,5,5,Great food and fast delivery!,Positive
404,111480,5.0,5,5,"Loved the taste, will order again.",Positive
405,110499,4.0,4,4,Great food and fast delivery!,Positive
406,107009,4.0,3,5,Best biryani in town!,Positive
407,107120,2.0,1,3,Food arrived cold and late.,Negative
408,120321,2.0,3,1,Order was incomplete.,Negative
409,114148,3.0,2,3,"Food was okay, nothing special.",Neutral
410,106874,3.0,4,4,Average experience.,Neutral
411,104563,3.0,3,4,Delivery was on time but food was mediocre.,Neutral
412,109129,5.0,4,5,"Loved the taste, will order again.",Positive
413,109435,4.0,3,3,Amazing experience overall.,Positive
414,116241,5.0,5,4,Best biryani in town!,Positive
415,111288,1.0,1,1,Wrong item delivered.,Negative
416,110765,3.0,2,2,Delivery was on time but food was mediocre.,Neutral
417,101155,5.0,4,5,Amazing experience overall.,Positive
418,109364,4.0,5,3,Delivery partner was very polite.,Positive
419,108807,2.0,2,2,,Negative
420,102891,3.0,4,2,Delivery was on time but food was mediocre.,Neutral
421,104038,3.0,4,3,,Neutral
422,114578,1.0,1,1,Food arrived cold and late.,Negative
423,103629,4.0,4,4,Best biryani in town!,Positive
424,114652,2.0,3,3,Order was incomplete.,Negative
425,112785,4.0,3,4,Packaging was excellent and food was hot.,Positive
426,114093,3.0,3,3,"Food was okay, nothing special.",Neutral
427,104317,5.0,5,4,Great food and fast delivery!,Positive
428,119189,4.0,3,5,"Loved the taste, will order again.",Positive
429,119026,4.0,5,3,"Loved the taste, will order again.",Positive
430,109997,2.0,2,1,Very disappointed with the service.,Negative
431,109287,5.0,5,5,Delivery partner was very polite.,Positive
432,110003,3.0,4,4,Average experience.,Neutral
433,116585,5.0,5,4,Best biryani in town!,Positive
434,117822,1.0,2,1,Food arrived cold and late.,Negative
435,118984,5.0,5,5,,Positive
436,113723,4.0,3,4,Best biryani in town!,Positive
437,102684,5.0,5,4,Great food and fast delivery!,Positive
438,105697,5.0,4,4,Great food and fast delivery!,Positive
439,120040,4.0,4,3,"Loved the taste, will order again.",Positive
440,114469,5.0,5,5,Amazing experience overall.,Positive
441,115005,,5,4,Delivery partner was very polite.,Positive
442,116448,5.0,5,5,Packaging was excellent and food was hot.,Positive
443,120401,3.0,3,4,Delivery was on time but food was mediocre.,Neutral
444,118301,5.0,5,4,Amazing experience overall.,Positive
445,110577,4.0,4,5,Amazing experience overall.,Positive
446,114663,5.0,4,4,Delivery partner was very polite.,Positive
447,118916,5.0,5,4,Amazing experience overall.,Positive
448,118666,5.0,5,4,Amazing experience overall.,Positive
449,111275,3.0,3,2,Average experience.,Neutral
450,114219,5.0,4,5,Packaging was excellent and food was hot.,Positive
451,100190,5.0,4,4,Delivery partner was very polite.,Positive
452,115189,5.0,4,5,Amazing experience overall.,Positive
453,119551,3.0,3,4,Average experience.,Neutral
454,110139,5.0,5,4,Delivery partner was very polite.,Positive
455,109495,3.0,3,3,,Neutral
456,105708,3.0,3,4,,Neutral
457,117567,4.0,4,4,Best biryani in town!,Positive
458,120061,3.0,4,2,,Neutral
459,115339,3.0,4,4,Average experience.,Neutral
460,105263,5.0,5,4,Amazing experience overall.,Positive
461,115637,3.0,2,2,,Neutral
462,109226,5.0,5,5,Amazing experience overall.,Positive
463,102471,4.0,5,5,Great food and fast delivery!,Positive
464,111714,2.0,3,2,Quality was not up to the mark.,Negative
465,108471,5.0,5,4,Best biryani in town!,Positive
466,110706,1.0,1,1,Very disappointed with the service.,Negative
467,107579,5.0,5,4,"Loved the taste, will order again.",Positive
468,107368,5.0,5,5,Delivery partner was very polite.,Positive
469,110246,5.0,4,5,,Positive
470,116395,1.0,1,2,Very disappointed with the service.,Negative
471,120164,5.0,5,5,"Loved the taste, will order again.",Positive
472,105228,2.0,3,2,Very disappointed with the service.,Negative
473,105779,3.0,2,4,Average experience.,Neutral
474,120217,5.0,4,5,Amazing experience overall.,Positive
475,101938,5.0,4,5,Great food and fast delivery!,Positive
476,102873,4.0,5,4,,Positive
477,116581,5.0,4,4,Best biryani in town!,Positive
478,104215,2.0,1,3,Wrong item delivered.,Negative
479,112475,1.0,1,1,Very disappointed with the service.,Negative
480,116042,3.0,4,4,Average experience.,Neutral
481,117290,4.0,5,5,Delivery partner was very polite.,Positive
482,102545,5.0,5,4,Great food and fast delivery!,Positive
483,112147,4.0,3,4,Amazing experience overall.,Positive
484,113070,2.0,3,2,Very disappointed with the service.,Negative
485,100023,5.0,4,5,Great food and fast delivery!,Positive
486,117732,5.0,5,4,Great food and fast delivery!,Positive
487,106750,2.0,2,3,Order was incomplete.,Negative
488,103440,4.0,3,3,"Loved the taste, will order again.",Positive
489,101611,4.0,4,5,Great food and fast delivery!,Positive
490,107996,4.0,4,3,Great food and fast delivery!,Positive
491,104279,4.0,3,3,Amazing experience overall.,Positive
492,104844,4.0,4,5,Best biryani in town!,Positive
493,103757,4.0,3,3,Packaging was excellent and food was hot.,Positive
494,117675,2.0,1,2,Food arrived cold and late.,Negative
495,115577,3.0,3,4,,Neutral
496,105288,2.0,3,3,Quality was not up to the mark.,Negative
497,118762,5.0,5,5,Delivery partner was very polite.,Positive
498,115890,3.0,2,4,"Food was okay, nothing special.",Neutral
499,101709,4.0,3,5,Delivery partner was very polite.,Positive
500,120336,2.0,3,1,Very disappointed with the service.,Negative
501,111438,5.0,5,5,Packaging was excellent and food was hot.,Positive
502,115433,2.0,2,1,Wrong item delivered.,Negative
